"","playerID","fg_playerID","POS","W","L","G","GS","CG","SHO","SV","IP","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","SO%","BB%","SO:BB","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP","InnOuts","PO","A","E","DP","Pitching Triple Crown","300_wins","3000_so","300_sv","ped_use","inducted","play_era","WAR","WHIP","BABIP","LOB%","FIP","all_star_appearances","num_gold_gloves","num_cy_young","num_mvp","num_ws_mvp"
"1","kershcl01",2036,"SP",197,87,401,398,25,15,0,2580.9,7743,1955,711,206,629,2807,0.19242125984252,2.47936766244333,0.276279527559055,0.0619094488188976,4.46263910969793,27,95,39,22,10160,1,777,90,29,177,7743,73,358,11,15,"1","No","No","No","No",0,"Modern",73.4,1,0.27,0.791,2.76,9,1,3,1,NA
"2","kimbrcr01",6655,"RP",41,36,709,0,0,0,394,688.4,2065,398,177,56,280,1098,0.144885329450309,2.31406159209762,0.399708773207135,0.10192937750273,3.92142857142857,9,63,31,2,2747,567,196,8,8,30,2065,28,43,2,2,"0","No","No","Yes","No",0,"Modern",20.2,0.98,0.267,0.814,2.34,8,NA,NA,NA,NA
"3","scherma01",3137,"SP",201,102,430,421,12,5,0,2681.9,8046,2180,927,300,701,3193,0.201274120579817,3.11085424512472,0.294801957344659,0.0647216323515834,4.55492154065621,20,74,107,7,10831,2,998,59,54,139,8046,141,198,16,14,"0","No","Yes","No","No",0,"Modern",70.3,1.07,0.288,0.775,3.1,8,NA,3,NA,NA
"4","verlaju01",8700,"SP",244,133,482,482,26,9,0,3162.9,9489,2654,1139,322,880,3198,0.206055900621118,3.24101299440387,0.248291925465839,0.0683229813664596,3.63409090909091,27,90,104,19,12880,0,1235,44,69,168,9489,177,304,34,30,"1","No","Yes","No","No",0,"Modern",78,1.12,0.278,0.754,3.36,8,NA,2,1,NA
"5","chapmar01",10233,"RP",44,35,667,0,0,0,315,639.9,1920,366,176,42,318,1045,0.140823393612928,2.47538677918425,0.402077722200846,0.122354751827626,3.28616352201258,5,68,30,2,2599,484,191,5,13,20,1920,19,44,11,1,"0","No","No","Yes","No",0,"Modern",20.1,1.07,0.278,0.798,2.35,7,NA,NA,NA,NA
"6","salech01",10603,"SP",114,75,323,243,16,3,12,1678,5034,1362,565,178,387,2064,0.201718009478673,3.03039332538737,0.305687203791469,0.0573163507109005,5.33333333333333,15,38,103,1,6752,25,612,20,28,115,5034,68,155,4,10,"0","No","No","No","No",0,"Modern",45.5,1.04,0.295,0.774,2.92,7,NA,NA,NA,NA
"7","hernafe02",4772,"SP",169,136,419,418,25,11,0,2729.8,8189,2487,1037,264,805,2524,0.220400567174761,3.41893178987472,0.223679546260191,0.0713399503722084,3.13540372670807,16,156,105,7,11284,0,1157,50,56,271,8189,188,321,19,28,"0","No","No","No","No",0,"Modern",54,1.21,0.293,0.74,3.52,6,NA,1,NA,NA
"8","rodrifr03",1642,"RP",52,53,948,0,0,0,437,975.9,2928,738,310,98,389,1142,0.183994016454749,2.85889947740547,0.284717028172526,0.0969832959361755,2.93573264781491,42,68,17,2,4011,677,336,24,22,48,2928,70,65,4,3,"0","No","No","Yes","No",0,"Modern",16.3,1.15,0.271,0.803,3.31,6,NA,NA,NA,NA
"9","darviyu01",13074,"SP",95,75,242,242,2,1,0,1488,4464,1195,579,187,479,1788,0.195773263433814,3.50201612903226,0.292922673656619,0.0784731323722149,3.73277661795407,8,76,66,5,6104,0,609,11,37,92,4464,96,109,5,12,"0","No","No","No","No",0,"Modern",32,1.13,0.281,0.765,3.46,5,NA,NA,NA,NA
"10","lestejo01",4930,"SP",200,117,452,451,15,4,0,2740,8220,2610,1114,294,892,2488,0.227213371637503,3.65912408759124,0.216592669974754,0.0776529990423958,2.78923766816144,13,63,90,1,11487,0,1215,61,67,250,8220,147,266,20,18,"0","No","No","No","No",0,"Modern",46.2,1.28,0.3,0.747,3.78,5,NA,NA,NA,NA
"11","priceda01",3184,"SP",157,82,400,322,17,3,3,2143.7,6431,1930,790,221,562,2076,0.21914386283638,3.31669543312964,0.235721585102759,0.0638128761212672,3.69395017793594,16,40,63,5,8807,19,865,35,45,155,6431,82,227,13,12,"0","No","No","No","No",0,"Modern",42.5,1.16,0.29,0.753,3.39,5,NA,1,NA,NA
"12","bumgama01",5524,"SP",134,121,354,351,16,7,0,2192.7,6578,1982,834,254,529,2060,0.220026642984014,3.42317690518539,0.228685612788632,0.0587255772646536,3.89413988657845,38,29,88,8,9008,1,913,63,51,154,6578,55,239,16,10,"0","No","No","No","No",0,"Modern",32.6,1.14,0.284,0.751,3.59,4,NA,NA,NA,1
"13","colonba01",375,"SP",247,188,565,552,38,13,0,3461.4,10385,3593,1584,439,948,2535,0.245172296144661,4.1185647425897,0.172978505629478,0.0646878198567042,2.67405063291139,47,45,64,6,14655,2,1719,121,91,312,10385,188,456,48,47,"0","No","No","No","Yes",0,"Modern",51,1.31,0.296,0.723,4.15,4,NA,1,NA,NA
"14","greinza01",1943,"SP",223,141,556,514,17,5,1,3247,9741,3049,1235,342,739,2882,0.229524239686841,3.42315983985217,0.216952725082806,0.0556308340861186,3.89986468200271,25,99,75,6,13284,8,1328,82,59,253,9741,329,462,9,60,"0","No","No","No","No",0,"Modern",65.5,1.17,0.293,0.749,3.47,4,6,1,NA,NA
"15","hamelco01",4972,"SP",163,122,423,422,17,7,0,2698,8094,2424,1027,310,767,2560,0.21808367071525,3.42587101556709,0.230319388214125,0.0690058479532164,3.33767926988266,43,57,100,14,11115,0,1103,76,54,215,8094,113,323,21,14,"0","No","No","No","No",0,"Modern",51.6,1.18,0.287,0.766,3.68,4,NA,NA,NA,1
"16","melanma01",4264,"RP",37,40,732,0,0,0,262,726.7,2180,657,237,44,192,643,0.22039584032204,2.93518645933673,0.21569942972157,0.0644079168064408,3.34895833333333,23,44,25,0,2981,454,276,7,12,70,2180,72,110,4,16,"0","No","No","No","No",0,"Modern",11.9,1.17,0.295,0.736,3.04,4,NA,NA,NA,NA
"17","cainma01",4732,"SP",104,118,342,331,15,6,0,2085.6,6257,1849,853,211,712,1694,0.212553167030693,3.68095512082854,0.194735027014599,0.0818484883319922,2.37921348314607,42,70,62,4,8699,4,910,87,67,124,6257,131,229,17,16,"0","No","No","No","No",0,"Modern",28.1,1.23,0.272,0.736,3.92,3,NA,NA,NA,NA
"18","daviswa01",7441,"RP",63,55,557,88,2,1,141,990.2,2971,895,433,104,389,929,0.213145987139795,3.93556857200566,0.221243153131698,0.092641105025006,2.38817480719794,11,46,32,0,4199,270,458,11,27,74,2971,78,85,7,14,"0","No","No","No","No",0,"Modern",13.7,1.3,0.288,0.733,3.86,3,NA,NA,NA,NA
"19","handbr01",9111,"RP",35,52,519,43,0,0,131,718.3,2155,619,289,74,275,723,0.204290429042904,3.62104970068217,0.238613861386139,0.0907590759075908,2.62909090909091,23,26,41,1,3030,239,323,25,18,52,2155,21,87,5,4,"0","No","No","No","No",0,"Modern",7.6,1.24,0.284,0.736,3.78,3,NA,NA,NA,NA
"20","hendrli01",3548,"RP",31,34,471,44,1,0,115,644.9,1935,614,273,76,158,724,0.228507629326386,3.8098930066677,0.269445478228508,0.0588016375139561,4.58227848101266,16,42,19,0,2687,209,305,9,22,42,1935,43,47,2,1,"0","No","No","No","No",0,"Modern",13.8,1.2,0.315,0.71,3.25,3,NA,NA,NA,NA
"21","hollagr01",7196,"RP",30,28,556,0,0,0,220,547.7,1643,417,191,43,241,677,0.183619550858653,3.13857951433266,0.29810656098635,0.106120651695288,2.80912863070539,20,50,7,2,2271,355,211,14,13,40,1643,44,42,2,5,"0","No","No","No","No",0,"Modern",11.8,1.2,0.287,0.751,3.03,3,NA,NA,NA,NA
"22","janseke01",3096,"RP",42,28,766,0,0,0,391,769,2307,495,210,71,226,1107,0.162828947368421,2.45773732119636,0.364144736842105,0.0743421052631579,4.89823008849558,15,18,28,11,3040,573,225,6,15,21,2307,34,27,5,3,"0","No","No","Yes","No",0,"Modern",22.3,0.94,0.264,0.807,2.44,3,NA,NA,NA,NA
"23","kazmisc01",4897,"SP",108,97,303,301,3,1,0,1700.9,5103,1611,760,193,687,1618,0.220443349753695,4.02140043506379,0.221401204159825,0.0940065681444992,2.3551673944687,17,74,68,6,7308,0,830,34,43,129,5103,61,159,25,5,"0","No","No","No","No",0,"Modern",25.1,1.35,0.299,0.733,4.02,3,NA,NA,NA,NA
"24","klubeco01",2429,"SP",113,71,256,251,18,8,0,1586.7,4760,1417,584,160,347,1683,0.220338983050847,3.3125354509359,0.26170113512673,0.0539573938734256,4.85014409221902,9,30,61,2,6431,3,637,32,23,114,4760,115,128,5,8,"0","No","No","No","No",0,"Modern",39.1,1.11,0.301,0.742,3.09,3,NA,2,NA,NA
"25","perkigl01",8041,"RP",35,25,409,44,0,0,120,624.5,1873,646,269,74,158,504,0.245161290322581,3.87670136108887,0.191271347248577,0.0599620493358634,3.18987341772152,13,21,22,2,2635,228,290,23,21,55,1873,19,86,4,3,"0","No","No","No","No",0,"Modern",7.7,1.29,0.305,0.742,3.9,3,NA,NA,NA,NA
"26","rodnefe01",494,"RP",48,71,951,0,0,0,327,933.2,2799,817,394,73,464,943,0.201033464566929,3.79982854693528,0.232037401574803,0.114173228346457,2.0323275862069,38,65,52,3,4064,590,433,37,19,75,2799,59,103,8,5,"0","No","No","Yes","No",0,"Modern",8.6,1.37,0.294,0.731,3.77,3,NA,NA,NA,NA
"27","strasst01",10131,"SP",113,62,247,247,2,2,0,1470,4410,1217,530,149,394,1723,0.204126132170413,3.24489795918367,0.2889969808789,0.0660852063066085,4.37309644670051,20,44,53,4,5962,0,582,39,27,106,4410,97,131,11,5,"0","No","No","No","No",0,"Modern",36.6,1.1,0.293,0.743,3.02,3,NA,NA,NA,1
"28","wainwad01",2233,"SP",195,117,457,390,28,11,3,2567.4,7702,2426,964,213,695,2147,0.228179082016554,3.37929422762328,0.20193754702784,0.0653686982693755,3.08920863309353,40,50,80,4,10632,13,1028,99,57,243,7702,228,312,10,28,"0","No","No","No","No",0,"Modern",48,1.22,0.295,0.749,3.45,3,2,NA,NA,NA
"29","weaveje02",4235,"SP",150,98,331,331,14,8,0,2067.3,6202,1912,833,262,551,1621,0.224123783847146,3.62646930779277,0.190012894150744,0.0645879732739421,2.94192377495463,17,37,55,3,8531,0,879,34,49,110,6202,103,172,16,8,"0","No","No","No","No",0,"Modern",30.4,1.19,0.273,0.762,4.07,3,NA,NA,NA,NA
"30","archech01",6345,"SP",63,89,243,240,3,3,0,1357,4071,1232,592,165,476,1454,0.215271710641272,3.92630803242447,0.254062554604229,0.0831731609295824,3.0546218487395,8,72,41,0,5723,1,654,22,32,98,4071,61,111,14,8,"0","No","No","No","No",0,"Modern",20.8,1.26,0.297,0.721,3.72,2,NA,NA,NA,NA
"31","brittza01",3240,"RP",35,26,442,46,0,0,154,640.9,1923,546,223,39,264,532,0.205882352941176,3.131533780621,0.200603318250377,0.0995475113122172,2.01515151515152,13,48,12,0,2652,250,255,15,14,92,1923,30,116,7,9,"0","No","No","No","No",0,"Modern",9.8,1.26,0.281,0.739,3.54,2,NA,NA,NA,NA
"32","broxtjo01",4759,"RP",43,38,694,0,0,0,118,676.1,2028,580,256,51,268,758,0.204513399153738,3.40777991421387,0.267277856135402,0.0944992947813822,2.82835820895522,34,21,20,0,2836,293,285,24,21,55,2028,37,83,2,2,"0","No","No","No","No",0,"Modern",10.6,1.25,0.304,0.732,3.14,2,NA,NA,NA,NA
"33","buchhcl01",3543,"SP",90,69,236,218,10,6,0,1332.2,3997,1272,589,139,458,1024,0.226859283039058,3.97913226242306,0.18262885678616,0.0816836097734974,2.23580786026201,11,30,49,4,5607,7,644,20,46,147,3997,141,135,16,8,"0","No","No","No","No",0,"Modern",16.1,1.3,0.288,0.716,4.07,2,NA,NA,NA,NA
"34","clippty01",5640,"RP",56,48,807,14,0,0,74,872.2,2617,625,306,112,344,956,0.174825174825175,3.15753267599175,0.267412587412587,0.0962237762237762,2.77906976744186,19,48,32,6,3575,212,327,27,27,30,2617,28,60,6,8,"0","No","No","No","No",0,"Modern",8.6,1.11,0.241,0.798,3.89,2,NA,NA,NA,NA
"35","corbipa01",9323,"SP",87,103,278,260,6,2,2,1537.8,4613,1600,736,205,468,1466,0.242718446601942,4.30745220444791,0.222390776699029,0.070995145631068,3.13247863247863,22,52,41,1,6592,9,796,44,34,121,4613,71,237,5,11,"0","No","No","No","No",0,"Modern",22.3,1.34,0.316,0.721,3.96,2,NA,NA,NA,NA
"36","cuetojo01",6893,"SP",143,107,355,353,18,8,0,2192.7,6578,2029,839,232,619,1812,0.22284459088413,3.44369954850185,0.199011532125206,0.0679846238330588,2.92730210016155,21,36,117,17,9105,0,910,83,43,174,6578,181,277,27,16,"0","No","No","No","No",0,"Modern",32.5,1.21,0.284,0.76,3.85,2,NA,NA,NA,NA
"37","gonzagi01",7448,"SP",131,101,344,328,4,2,0,1933.1,5799,1744,795,171,815,1860,0.211599126425625,3.7013087786457,0.225673380247513,0.0988837660761951,2.28220858895706,21,59,50,4,8242,4,857,60,46,150,5799,79,250,10,11,"0","No","No","No","No",0,"Modern",32.2,1.32,0.294,0.739,3.68,2,NA,NA,NA,NA
"38","keuchda01",9434,"SP",101,91,268,257,12,4,0,1588.1,4764,1594,702,169,489,1218,0.237768496420048,3.97833889553555,0.181682577565632,0.0729415274463007,2.49079754601227,11,58,37,0,6704,2,760,29,28,193,4764,95,309,10,24,"0","No","No","No","No",0,"Modern",20.6,1.31,0.297,0.722,3.98,2,5,1,NA,NA
"39","lynnla01",2520,"SP",123,84,309,285,4,2,1,1705.3,5116,1554,667,171,593,1715,0.215803360644355,3.52020172403683,0.238161366476878,0.0823496736564366,2.8920741989882,20,55,76,0,7201,4,725,44,33,127,5116,74,129,12,10,"0","No","No","No","No",0,"Modern",31.3,1.26,0.298,0.755,3.61,2,NA,NA,NA,NA
"40","millean01",6785,"RP",55,55,612,66,0,0,63,829,2487,732,371,80,383,979,0.202265819287096,4.02774427020507,0.270516717325228,0.105830339872893,2.55613577023499,14,44,61,2,3619,147,413,39,30,60,2487,34,68,10,4,"0","No","No","No","No",0,"Modern",12.8,1.34,0.308,0.717,3.63,2,NA,NA,NA,NA
"41","mortoch02",4676,"SP",116,101,323,322,3,2,0,1797.1,5391,1687,805,166,639,1697,0.21954711087975,4.03149518668967,0.22084851639771,0.0831598125976054,2.65571205007825,22,63,156,5,7684,0,890,58,49,176,5391,88,179,19,10,"0","No","No","No","No",0,"Modern",26.6,1.29,0.303,0.708,3.77,2,NA,NA,NA,NA
"42","santaer01",3200,"SP",151,129,425,386,21,11,0,2486.7,7460,2391,1135,331,776,1978,0.228105323411563,4.10785378212088,0.188704445716466,0.0740316733447815,2.54896907216495,35,104,104,11,10482,20,1221,50,72,190,7460,196,194,16,23,"0","No","No","No","Yes",0,"Modern",28,1.27,0.282,0.73,4.31,2,NA,NA,NA,NA
"43","soriajo01",6941,"RP",36,45,773,1,0,0,229,763,2289,633,264,67,231,831,0.201207883026065,3.11402359108781,0.264144945963128,0.0734265734265734,3.5974025974026,18,33,27,8,3146,427,279,19,25,52,2289,53,92,3,8,"0","No","No","No","No",0,"Modern",15.4,1.13,0.284,0.768,3.12,2,NA,NA,NA,NA
"44","streehu01",8258,"RP",42,34,668,0,0,0,324,679.9,2040,542,223,70,183,665,0.199411331861663,2.95190469186645,0.244665194996321,0.0673289183222958,3.63387978142076,37,20,8,1,2718,525,237,21,19,34,2040,43,97,5,8,"0","No","No","Yes","No",0,"Modern",10.6,1.07,0.263,0.781,3.33,2,NA,NA,NA,NA
"45","teherju01",6797,"SP",78,77,240,236,5,3,0,1396.4,4189,1232,590,189,477,1207,0.211357008063133,3.80263534803781,0.207068107737176,0.0818322182192486,2.53039832285115,22,27,67,6,5829,0,635,53,30,84,4189,85,222,6,18,"0","No","No","No","No",0,"Modern",12.9,1.22,0.268,0.755,4.34,2,NA,NA,NA,NA
"46","zimmejo02",4505,"SP",95,91,279,275,8,4,0,1614,4842,1673,730,195,346,1271,0.247265740467041,4.07063197026022,0.187851019804907,0.0511380431569613,3.67341040462428,12,25,60,2,6766,2,789,53,41,113,4842,104,197,14,8,"0","No","No","No","No",0,"Modern",25.4,1.25,0.302,0.714,3.87,2,NA,NA,NA,NA
"47","arrieja01",4153,"SP",115,93,285,279,6,5,0,1612.3,4837,1450,713,181,571,1433,0.214655810510733,3.98002853067047,0.212139156180607,0.0845299777942265,2.50963222416813,23,79,64,1,6755,1,787,33,40,135,4837,136,254,31,24,"0","No","No","No","No",0,"Modern",23.6,1.25,0.282,0.709,4,1,NA,1,NA,NA
"48","arroybr01",978,"SP",148,137,419,383,16,6,1,2435.7,7307,2507,1158,347,661,1571,0.242503385567808,4.27885207537874,0.15196362932869,0.0639388663184368,2.3767019667171,60,42,105,6,10338,6,1260,91,64,183,7307,221,325,16,22,"0","No","No","No","No",0,"Modern",21.6,1.3,0.282,0.722,4.6,1,1,NA,NA,NA
"49","brachbr01",6627,"RP",38,29,531,0,0,0,34,552.7,1658,475,218,57,264,589,0.202041684389621,3.54984620951692,0.250531688643131,0.112292641429179,2.23106060606061,23,30,8,3,2351,143,246,10,24,42,1658,30,56,9,9,"0","No","No","No","No",0,"Modern",4.6,1.34,0.292,0.751,3.83,1,NA,NA,NA,NA
"50","cahiltr01",6249,"RP",86,99,361,233,3,2,1,1507.8,4523,1447,713,170,615,1151,0.223993808049536,4.2558694787107,0.178173374613003,0.0952012383900929,1.87154471544715,12,100,63,4,6460,47,774,52,50,147,4523,81,269,15,12,"0","No","No","No","No",0,"Modern",10.6,1.37,0.286,0.716,4.39,1,NA,NA,NA,NA
"51","dukeza01",3840,"RP",69,91,570,169,6,3,4,1360.1,4080,1554,651,132,419,854,0.262721893491124,4.30777148739063,0.144378698224852,0.0708368554522401,2.0381861575179,31,32,45,8,5915,67,714,72,38,161,4080,81,243,9,20,"0","No","No","No","No",0,"Modern",15.4,1.45,0.318,0.711,4.15,1,NA,NA,NA,NA
